name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
vant,https://github.com/youzan/vant,JavaScript,49,0,171,4,49.6,63,638,617,1.8,374,0.68173
stencil,https://github.com/ionic-team/stencil,TypeScript,47,0,157,7,16.5,43,212,128,1.8,931,0.68128
effector,https://github.com/effector/effector,TypeScript,36,0,71,6,31.7,39,58,48,1.7,8933,0.68072
hospitalrun-frontend,https://github.com/HospitalRun/hospitalrun-frontend,TypeScript,82,0,240,8,19.1,5,145,102,3.0,340,0.68062
ant-design-pro,https://github.com/ant-design/ant-design-pro,TypeScript,41,0,273,5,4.1,5,615,546,2.3,3673,0.68014
Lesswrong2,https://github.com/LessWrong2/Lesswrong2,TypeScript,102,0,267,6,50.6,6,308,267,0.7,566,0.67991
misskey,https://github.com/syuilo/misskey,TypeScript,49,0,82,4,33.4,102,410,264,1.2,4321,0.67974
platform,https://github.com/ngrx/platform,TypeScript,47,0,308,10,5.8,16,171,120,2.1,410,0.6788
javascript,https://github.com/airbnb/javascript,JavaScript,99,0,511,4,1.3,12,67,58,1.3,8039,0.67811
core-js,https://github.com/zloirock/core-js,JavaScript,91,0,88,8,3.3,8,94,72,1.8,10272,0.67718
common-voice,https://github.com/mozilla/common-voice,TypeScript,45,0,761,5,63.5,19,97,59,1.5,140,0.67713
incubator-echarts,https://github.com/apache/incubator-echarts,TypeScript,94,0,143,4,21.6,12,996,528,1.6,750,0.67711
webpack.js.org,https://github.com/webpack/webpack.js.org,JavaScript,55,0,1052,9,10.3,2,408,348,2.0,102,0.67656
ionic-native,https://github.com/ionic-team/ionic-native,TypeScript,62,1,664,10,3.6,17,101,53,0.8,1585,0.67597
vega-lite,https://github.com/vega/vega-lite,TypeScript,74,0,153,7,17.5,36,287,206,0.9,688,0.67595
refined-github,https://github.com/sindresorhus/refined-github,TypeScript,59,0,236,5,12.6,19,307,254,3.1,277,0.67594
react-navigation,https://github.com/react-navigation/react-navigation,TypeScript,48,1,97,7,11.8,635,561,404,2.4,1348,0.67574
node-mongodb-native,https://github.com/mongodb/node-mongodb-native,JavaScript,134,1,408,7,5.8,17,144,135,0.4,2468,0.67567
jsii,https://github.com/aws/jsii,TypeScript,39,0,52,6,17.5,26,368,325,2.1,2789,0.67521
prisma,https://github.com/prisma/prisma,TypeScript,20,0,113,4,50.5,48,1198,661,1.2,1981,0.67383
i18next,https://github.com/i18next/i18next,JavaScript,110,1,186,7,2.4,27,34,32,3.6,1913,0.67368
universal,https://github.com/angular/universal,TypeScript,67,0,101,7,5.2,22,141,106,1.5,3807,0.67355
terser,https://github.com/terser/terser,JavaScript,105,0,206,4,4.2,41,84,49,2.2,2305,0.67348
angular.js,https://github.com/angular/angular.js,JavaScript,621,2,1845,5,1.3,4,36,31,0.8,13292,0.67334
deck,https://github.com/spinnaker/deck,TypeScript,79,0,281,5,21.8,308,221,206,0.7,540,0.67284
data,https://github.com/emberjs/data,JavaScript,110,0,595,6,4.8,4,99,62,1.4,1286,0.67214
Ghost-Admin,https://github.com/TryGhost/Ghost-Admin,JavaScript,91,0,202,8,18.7,52,100,81,0.1,1453,0.67201
feathers,https://github.com/feathersjs/feathers,TypeScript,112,0,185,8,2.6,14,144,115,1.4,1348,0.67186
caniuse,https://github.com/Fyrd/caniuse,JavaScript,109,0,846,7,13.5,0,149,94,1.4,783,0.67181
umi,https://github.com/umijs/umi,TypeScript,38,0,277,8,12.0,72,619,408,1.5,153,0.67077
igniteui-angular,https://github.com/IgniteUI/igniteui-angular,TypeScript,60,0,119,2,63.4,167,679,539,0.7,2834,0.67031
cli,https://github.com/react-native-community/cli,TypeScript,70,1,441,8,4.4,26,111,77,2.1,420,0.67021
js-yaml,https://github.com/nodeca/js-yaml,JavaScript,113,0,73,7,1.1,8,86,80,1.3,27371,0.6687
theme-ui,https://github.com/system-ui/theme-ui,TypeScript,21,0,111,7,18.0,79,346,282,2.1,1000,0.66844
sails,https://github.com/balderdashy/sails,JavaScript,109,0,270,9,0.8,4,77,25,2.3,2905,0.66801
open-wc,https://github.com/open-wc/open-wc,JavaScript,28,0,156,6,14.7,37,207,176,2.0,1078,0.66792
Vim,https://github.com/VSCodeVim/Vim,TypeScript,63,0,290,5,10.9,15,798,565,1.3,334,0.66784
Signal-Desktop,https://github.com/signalapp/Signal-Desktop,JavaScript,85,0,157,6,14.9,79,347,130,2.6,140,0.6677
ws,https://github.com/websockets/ws,JavaScript,111,0,182,6,1.4,9,45,43,3.0,3165,0.66707
engine,https://github.com/playcanvas/engine,JavaScript,112,0,83,5,10.8,39,243,144,2.0,849,0.66703
outline,https://github.com/outline/outline,JavaScript,59,0,51,8,10.2,23,177,128,1.5,2960,0.66681
DIM,https://github.com/DestinyItemManager/DIM,TypeScript,71,0,144,4,51.8,84,516,467,1.1,286,0.6663
parcel,https://github.com/parcel-bundler/parcel,JavaScript,41,0,290,7,9.0,1,573,351,2.4,1238,0.66602
news,https://github.com/nextcloud/news,JavaScript,106,0,142,7,6.0,34,246,211,1.9,255,0.66536
material-components-web,https://github.com/material-components/material-components-web,TypeScript,82,0,415,4,16.4,5,271,225,1.3,753,0.66487
backstage,https://github.com/backstage/backstage,TypeScript,11,0,237,5,117.7,17,1353,1109,2.2,106,0.66433
pnpm,https://github.com/pnpm/pnpm,TypeScript,60,0,78,8,18.9,107,199,105,1.9,490,0.66419
Dart-Code,https://github.com/Dart-Code/Dart-Code,TypeScript,54,0,37,9,16.8,69,351,262,2.6,493,0.66417
webpack-merge,https://github.com/survivejs/webpack-merge,TypeScript,67,0,31,9,2.9,16,28,27,4.0,9051,0.66389
react-datepicker,https://github.com/Hacker0x01/react-datepicker,JavaScript,79,0,324,7,5.2,17,331,195,1.2,288,0.66356
cli,https://github.com/heroku/cli,JavaScript,73,0,143,6,3.9,30,85,48,0.9,5332,0.66299
apps,https://github.com/polkadot-js/apps,TypeScript,33,0,113,6,63.4,32,518,473,1.0,349,0.66274
berry,https://github.com/yarnpkg/berry,TypeScript,29,0,170,9,17.3,331,486,370,2.3,91,0.66211
eslint-plugin-jest,https://github.com/jest-community/eslint-plugin-jest,TypeScript,48,0,94,6,3.7,32,81,69,1.1,12291,0.66203
edusoho,https://github.com/edusoho/edusoho,JavaScript,90,1,255,3,59.4,80,7,0,0.6,28541,0.66177
pro-components,https://github.com/ant-design/pro-components,TypeScript,41,0,308,4,18.5,161,918,821,2.5,69,0.66126
ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,90,0,425,3,11.7,47,845,617,2.2,56,0.66082
TiddlyWiki5,https://github.com/Jermolene/TiddlyWiki5,JavaScript,111,0,199,2,13.8,5,600,480,3.8,556,0.66065
commander.js,https://github.com/tj/commander.js,JavaScript,114,1,160,8,2.2,17,94,74,1.8,1988,0.66011
