name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
pymc3,https://github.com/pymc-devs/pymc3,Python,175,0,301,6,6.4,5,296,219,3.2,224,0.67151
Medusa,https://github.com/pymedusa/Medusa,Python,83,0,309,4,12.2,16,589,534,1.7,271,0.67075
django-extensions,https://github.com/django-extensions/django-extensions,Python,160,0,527,6,4.3,9,29,15,1.8,1285,0.6705
kitty,https://github.com/kovidgoyal/kitty,Python,51,0,132,7,21.2,14,273,254,2.7,306,0.67041
jax,https://github.com/google/jax,Python,26,0,239,3,44.9,5,978,754,1.8,1959,0.67035
faker,https://github.com/joke2k/faker,Python,99,0,378,7,4.9,7,119,64,1.3,1145,0.6699
chainer,https://github.com/chainer/chainer,Python,70,0,319,5,0.9,5,29,17,2.2,25881,0.66974
deepchem,https://github.com/deepchem/deepchem,Python,64,0,143,8,25.8,2,173,111,3.4,616,0.66939
scons,https://github.com/SCons/scons,Python,237,0,128,7,13.2,2,110,51,1.4,5267,0.66933
poetry,https://github.com/python-poetry/poetry,Python,35,0,245,5,7.5,23,865,446,3.0,265,0.66887
molecule,https://github.com/ansible-community/molecule,Python,62,0,245,6,5.8,24,204,184,1.2,965,0.6688
cloud-init,https://github.com/canonical/cloud-init,Python,150,0,276,11,8.4,35,172,160,1.9,36,0.66825
dbt,https://github.com/fishtown-analytics/dbt,Python,58,0,127,7,18.9,22,254,165,1.9,371,0.66786
redash,https://github.com/getredash/redash,Python,87,0,378,9,6.3,1,189,101,1.2,1595,0.66693
securedrop,https://github.com/freedomofpress/securedrop,Python,116,0,211,5,10.4,7,317,230,1.4,852,0.6668
django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,Python,150,0,228,9,3.7,4,116,96,2.1,717,0.66622
pip-tools,https://github.com/jazzband/pip-tools,Python,101,0,134,11,2.7,13,93,54,2.2,878,0.66595
peps,https://github.com/python/peps,Python,249,0,372,7,9.7,0,133,124,1.3,2243,0.66448
nltk,https://github.com/nltk/nltk,Python,241,0,384,7,2.6,2,84,62,1.4,2811,0.66439
robotframework,https://github.com/robotframework/robotframework,Python,91,0,131,6,11.9,8,175,125,1.7,1329,0.66428
GitPython,https://github.com/gitpython-developers/GitPython,Python,154,0,215,10,3.5,6,45,33,2.1,857,0.66405
fail2ban,https://github.com/fail2ban/fail2ban,Python,197,0,222,8,3.4,4,122,71,2.5,774,0.664
Flexget,https://github.com/Flexget/Flexget,Python,158,0,314,2,8.3,17,77,42,1.8,3081,0.66382
pytorch_geometric,https://github.com/rusty1s/pytorch_geometric,Python,39,0,136,7,23.5,8,341,194,2.7,440,0.66353
tqdm,https://github.com/tqdm/tqdm,Python,87,0,92,5,7.0,23,119,57,1.9,2682,0.66293
napari,https://github.com/napari/napari,Python,29,0,64,10,10.7,45,559,376,3.5,214,0.6619
black,https://github.com/psf/black,Python,34,0,212,9,3.9,2,248,119,1.8,4683,0.66137
coveragepy,https://github.com/nedbat/coveragepy,Python,144,0,102,8,3.7,8,78,36,1.9,2678,0.66088
PyGithub,https://github.com/PyGithub/PyGithub,Python,108,0,255,7,3.3,9,175,120,1.9,473,0.66071
package_control_channel,https://github.com/wbond/package_control_channel,Python,114,0,4342,4,4.8,0,123,89,1.4,296,0.6603
st2,https://github.com/StackStorm/st2,Python,81,0,156,7,9.9,2,94,54,2.5,2126,0.65977
keras,https://github.com/keras-team/keras,Python,70,0,893,9,0.4,1,397,223,0.9,1422,0.65951
gevent,https://github.com/gevent/gevent,Python,140,0,97,11,7.0,8,71,64,1.4,1180,0.65894
GlobaLeaks,https://github.com/globaleaks/GlobaLeaks,Python,110,0,35,10,25.4,21,58,35,1.8,763,0.65872
configuration,https://github.com/edx/configuration,Python,94,0,317,3,10.9,11,199,187,1.3,1065,0.65853
mongoengine,https://github.com/MongoEngine/mongoengine,Python,135,0,358,8,2.7,5,100,78,1.1,859,0.65692
lutris,https://github.com/lutris/lutris,Python,133,0,221,4,16.3,8,305,233,1.5,390,0.65673
