name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
veloren,https://github.com/veloren/veloren,Rust,32,2,147,4,36.9,2,1,1,1.0,5455,0.55061
rls,https://github.com/rust-lang/rls,Rust,53,1,138,7,1.4,6,24,14,1.6,265,0.55042
RustPython,https://github.com/RustPython/RustPython,Rust,32,0,182,3,36.1,1,184,150,1.5,40,0.54778
rust,https://github.com/tensorflow/rust,Rust,62,2,36,8,1.0,5,18,11,2.4,1446,0.54593
orbtk,https://github.com/redox-os/orbtk,Rust,61,0,55,3,18.0,2,101,64,2.3,107,0.54559
serenity,https://github.com/serenity-rs/serenity,Rust,51,0,151,1,5.8,23,211,182,1.1,95,0.54538
zksync,https://github.com/matter-labs/zksync,Rust,26,1,34,3,60.6,12,42,30,1.8,357,0.54485
rustyline,https://github.com/kkawakam/rustyline,Rust,70,0,36,8,2.6,9,52,35,1.2,106,0.54444
html5ever,https://github.com/servo/html5ever,Rust,83,1,90,5,0.2,9,4,2,3.8,477,0.5443
compiler-builtins,https://github.com/rust-lang/compiler-builtins,Rust,54,1,70,7,1.2,9,38,22,3.5,76,0.54427
gstreamer-rs,https://github.com/sdroege/gstreamer-rs,Rust,45,0,59,6,12.9,11,5,5,1.4,153,0.54388
handlebars-rust,https://github.com/sunng87/handlebars-rust,Rust,73,0,51,9,5.0,1,30,18,1.9,105,0.54344
glutin,https://github.com/rust-windowing/glutin,Rust,78,0,180,8,0.7,3,24,18,2.3,23,0.54259
spotifyd,https://github.com/Spotifyd/spotifyd,Rust,74,0,78,2,1.4,4,105,37,2.7,341,0.54162
mio,https://github.com/tokio-rs/mio,Rust,77,2,171,6,2.3,1,98,78,1.6,137,0.5411
rust-protobuf,https://github.com/stepancheg/rust-protobuf,Rust,90,1,100,5,8.0,9,13,5,2.5,47,0.54074
quickcheck,https://github.com/BurntSushi/quickcheck,Rust,83,0,82,4,0.4,16,18,16,1.8,154,0.54005
cloud-hypervisor,https://github.com/cloud-hypervisor/cloud-hypervisor,Rust,20,0,47,6,41.1,9,424,382,0.8,15,0.53942
chalk,https://github.com/rust-lang/chalk,Rust,66,0,83,3,19.6,1,98,72,2.6,39,0.53932
navi,https://github.com/denisidoro/navi,Rust,16,0,48,6,5.4,37,35,29,3.2,40,0.53864
num,https://github.com/rust-num/num,Rust,77,2,85,7,0.3,12,4,3,1.8,746,0.53826
async-graphql,https://github.com/async-graphql/async-graphql,Rust,10,0,47,3,21.7,545,93,89,4.0,30,0.53809
rust-sdl2,https://github.com/Rust-SDL2/rust-sdl2,Rust,90,0,260,5,1.7,1,34,14,2.2,34,0.53793
traits,https://github.com/RustCrypto/traits,Rust,46,0,18,6,6.4,25,127,107,0.6,134,0.53724
pulldown-cmark,https://github.com/raphlinus/pulldown-cmark,Rust,69,0,51,6,1.4,3,28,14,3.6,96,0.53724
capnproto-rust,https://github.com/capnproto/capnproto-rust,Rust,91,0,55,4,3.6,21,25,15,2.7,24,0.53713
lapin,https://github.com/CleverCloud/lapin,Rust,47,0,26,6,13.9,107,16,14,3.6,13,0.53665
uuid,https://github.com/uuid-rs/uuid,Rust,84,0,109,5,1.0,3,22,14,1.9,132,0.53651
async-std,https://github.com/async-rs/async-std,Rust,17,1,112,7,4.2,7,53,23,1.8,162,0.53623
num-traits,https://github.com/rust-num/num-traits,Rust,77,2,109,6,0.6,5,18,11,2.7,229,0.53575
crossterm,https://github.com/crossterm-rs/crossterm,Rust,36,0,90,5,1.8,9,45,25,2.1,74,0.5341
num-bigint,https://github.com/rust-num/num-bigint,Rust,77,1,112,6,1.9,4,26,16,2.5,65,0.5334
ggez,https://github.com/ggez/ggez,Rust,60,0,129,6,0.4,1,81,61,1.4,135,0.53306
curl-rust,https://github.com/alexcrichton/curl-rust,Rust,80,0,92,6,0.9,5,15,11,1.3,143,0.53216
tantivy,https://github.com/tantivy-search/tantivy,Rust,60,0,71,6,3.5,4,80,54,1.4,43,0.53182
rustls,https://github.com/ctz/rustls,Rust,57,0,53,6,2.5,6,57,38,2.1,43,0.53054
abstreet,https://github.com/dabreegster/abstreet,Rust,34,0,20,4,48.1,52,103,58,3.1,6,0.53042
differential-datalog,https://github.com/vmware/differential-datalog,Rust,34,0,24,5,13.9,46,129,90,2.2,11,0.52755
oreboot,https://github.com/oreboot/oreboot,Rust,216,0,881,3,2.8,1,68,53,0.8,7,0.52714
rust-rocksdb,https://github.com/rust-rocksdb/rust-rocksdb,Rust,74,0,103,7,1.4,2,32,19,1.6,49,0.52628
tauri,https://github.com/tauri-apps/tauri,Rust,18,1,44,4,10.6,89,113,71,1.2,153,0.52593
neon,https://github.com/neon-bindings/neon,Rust,64,1,53,6,4.6,8,81,48,1.9,33,0.52534
spotify-tui,https://github.com/Rigellute/spotify-tui,Rust,17,1,85,3,8.9,12,137,87,1.3,194,0.52463
toml-rs,https://github.com/alexcrichton/toml-rs,Rust,79,0,97,5,0.2,1,15,6,1.5,629,0.52459
topgrade,https://github.com/r-darwish/topgrade,Rust,32,0,73,4,5.3,40,73,68,2.8,6,0.52431
env_logger,https://github.com/env-logger-rs/env_logger,Rust,72,1,50,6,0.7,3,22,12,2.8,294,0.5241
rust-bio,https://github.com/rust-bio/rust-bio,Rust,73,0,60,7,1.6,3,45,17,2.0,45,0.52385
openethereum,https://github.com/openethereum/openethereum,Rust,62,0,212,4,1.6,3,145,91,1.9,10,0.52354
gir,https://github.com/gtk-rs/gir,Rust,67,0,37,6,3.2,0,74,57,2.9,106,0.5233
combine,https://github.com/Marwes/combine,Rust,73,0,44,6,1.8,11,16,15,1.2,101,0.5232
proc-macro2,https://github.com/alexcrichton/proc-macro2,Rust,44,1,23,6,3.6,18,13,11,1.2,622,0.5224
askama,https://github.com/djc/askama,Rust,49,0,71,6,3.0,2,65,50,2.1,37,0.52212
piston,https://github.com/PistonDevelopers/piston,Rust,81,0,79,7,0.3,0,7,5,1.6,757,0.52182
h2,https://github.com/hyperium/h2,Rust,46,0,44,9,0.8,6,20,14,1.4,130,0.52161
boa,https://github.com/boa-dev/boa,Rust,29,0,88,4,10.7,5,320,263,2.9,3,0.52124
relay,https://github.com/getsentry/relay,Rust,36,0,29,4,10.6,22,118,106,0.9,47,0.52113
ncspot,https://github.com/hrkfdn/ncspot,Rust,26,0,41,4,3.2,10,112,85,1.6,125,0.52098
tarpc,https://github.com/google/tarpc,Rust,61,0,30,7,1.1,6,24,18,3.4,47,0.52034
prisma-engines,https://github.com/prisma/prisma-engines,Rust,24,0,24,4,33.6,671,350,302,0.4,27,0.51998
http,https://github.com/hyperium/http,Rust,46,0,62,6,0.4,2,33,12,2.0,278,0.51937
rust-csv,https://github.com/BurntSushi/rust-csv,Rust,82,1,46,7,0.4,14,16,8,1.6,151,0.51921
sentry-rust,https://github.com/getsentry/sentry-rust,Rust,56,0,41,6,2.2,7,38,27,1.6,65,0.51881
bytes,https://github.com/tokio-rs/bytes,Rust,72,0,68,3,1.0,5,61,41,1.5,163,0.51866
