name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
devstats,https://github.com/cncf/devstats,Shell,42,0,20,13,13.3,2,13,11,3.8,73,0.53805
addons,https://github.com/home-assistant/addons,Shell,46,0,137,6,4.9,0,193,128,2.4,26,0.53723
pure,https://github.com/sindresorhus/pure,Shell,101,0,75,7,0.6,4,17,12,1.3,167,0.53674
Sn1per,https://github.com/1N3/Sn1per,Shell,65,0,24,6,2.1,9,26,23,2.0,233,0.53668
robox,https://github.com/lavabit/robox,Shell,56,0,10,6,6.2,13,20,12,3.1,214,0.53652
awesome-zsh-plugins,https://github.com/unixorn/awesome-zsh-plugins,Shell,76,0,139,9,6.7,0,84,83,0.9,23,0.53631
dotfiles,https://github.com/thoughtbot/dotfiles,Shell,121,1,102,10,0.2,0,9,7,0.6,1842,0.53446
getssl,https://github.com/srvrco/getssl,Shell,60,0,70,5,4.1,14,46,31,1.2,42,0.53401
Dockerfile,https://github.com/webdevops/Dockerfile,Shell,63,1,41,10,1.2,20,26,16,2.5,36,0.53392
chruby,https://github.com/postmodern/chruby,Shell,102,1,43,11,0.2,3,10,4,3.9,167,0.53371
winetricks,https://github.com/Winetricks/winetricks,Shell,121,0,129,1,6.2,2,76,50,1.8,183,0.5337
bitnami-docker-mongodb,https://github.com/bitnami/bitnami-docker-mongodb,Shell,66,0,35,7,18.8,772,16,13,3.3,2,0.53321
graphql-spec,https://github.com/graphql/graphql-spec,Shell,67,1,113,9,1.1,1,42,19,3.4,44,0.53311
star,https://github.com/rakudo/star,Shell,128,1,42,5,2.2,4,3,1,0.7,5702,0.53294
dragonwell8,https://github.com/alibaba/dragonwell8,Shell,159,0,117,3,2.0,6,34,26,1.0,115,0.53285
clamav-unofficial-sigs,https://github.com/extremeshok/clamav-unofficial-sigs,Shell,69,0,38,5,3.4,5,70,69,1.2,145,0.53214
easy-rsa,https://github.com/OpenVPN/easy-rsa,Shell,106,2,59,4,0.8,2,26,6,1.9,2636,0.53199
homer,https://github.com/sipcapture/homer,Shell,113,0,35,5,0.5,0,20,10,7.0,186,0.52961
postgres,https://github.com/docker-library/postgres,Shell,80,0,40,3,1.6,0,48,37,3.0,1006,0.52949
nextcloud-snap,https://github.com/nextcloud/nextcloud-snap,Shell,55,0,20,9,1.9,24,185,160,2.6,5,0.52907
crunchy-containers,https://github.com/CrunchyData/crunchy-containers,Shell,56,0,65,5,3.5,13,45,41,0.2,175,0.52825
airgeddon,https://github.com/v1s1t0r1sh3r3/airgeddon,Shell,58,0,30,3,5.4,7,19,19,2.5,289,0.52783
dotfiles,https://github.com/mathiasbynens/dotfiles,Shell,113,2,144,6,0.2,0,15,5,0.6,4179,0.52627
iTerm2-Color-Schemes,https://github.com/mbadolato/iTerm2-Color-Schemes,Shell,119,0,152,10,0.6,0,10,7,1.3,73,0.5255
elk-docker,https://github.com/spujadas/elk-docker,Shell,75,1,42,6,0.7,24,7,7,2.1,183,0.52533
pivpn,https://github.com/pivpn/pivpn,Shell,57,1,67,4,3.6,2,95,77,3.9,55,0.52495
create-your-own-adventure,https://github.com/udacity/create-your-own-adventure,Shell,76,18,3880,4,0.0,0,38,19,0.3,1121,0.52463
reportportal,https://github.com/reportportal/reportportal,Shell,52,0,22,5,1.2,11,159,79,2.7,61,0.52453
rabbitmq,https://github.com/docker-library/rabbitmq,Shell,74,0,32,5,2.1,0,21,16,2.4,899,0.52449
gentoo-zh,https://github.com/microcai/gentoo-zh,Shell,175,0,126,5,3.0,0,34,30,0.5,210,0.52442
asdf-plugins,https://github.com/asdf-vm/asdf-plugins,Shell,46,0,147,10,4.8,0,61,45,1.4,17,0.524
