name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
libfabric,https://github.com/ofiwg/libfabric,C,87,0,159,10,21.1,6,265,292,1.6,426,0.68207
libvips,https://github.com/libvips/libvips,C,162,0,62,9,9.7,13,114,146,4.6,423,0.68135
ostree,https://github.com/ostreedev/ostree,C,112,0,129,7,5.6,8,61,79,3.9,1509,0.68126
Tasmota,https://github.com/arendst/Tasmota,C,48,0,262,2,54.7,9,1050,1078,3.4,380,0.67856
mruby,https://github.com/mruby/mruby,C,106,0,299,5,16.1,2,172,180,1.2,3238,0.67794
libmesh,https://github.com/libMesh/libmesh,C,219,0,104,8,25.5,3,138,163,2.4,890,0.67758
pacemaker,https://github.com/ClusterLabs/pacemaker,C,212,0,148,5,21.3,12,93,100,2.0,1021,0.67655
rpm,https://github.com/rpm-software-management/rpm,C,305,0,186,7,7.6,4,101,150,2.4,1065,0.67307
jemalloc,https://github.com/jemalloc/jemalloc,C,140,0,127,6,9.0,4,77,104,1.3,7647,0.673
HandBrake,https://github.com/HandBrake/HandBrake,C,182,0,98,4,9.9,4,147,196,3.4,3328,0.67225
syslog-ng,https://github.com/syslog-ng/syslog-ng,C,167,0,151,4,23.0,5,112,138,4.3,483,0.66983
yugabyte-db,https://github.com/yugabyte/yugabyte-db,C,59,0,158,4,41.3,22,636,1457,0.7,518,0.66868
krb5,https://github.com/krb5/krb5,C,404,0,135,6,2.6,9,31,36,4.0,2406,0.66852
wireshark,https://github.com/wireshark/wireshark,C,271,1,1056,3,42.4,34,2,2,1.0,2352,0.66784
pkg,https://github.com/freebsd/pkg,C,125,0,179,5,7.3,17,90,116,1.0,2014,0.66651
MapServer,https://github.com/MapServer/MapServer,C,252,0,147,9,5.2,3,41,55,2.2,2293,0.6662
ucx,https://github.com/openucx/ucx,C,75,0,93,6,28.0,17,350,439,4.0,80,0.66575
oj,https://github.com/ohler55/oj,C,108,0,86,9,1.0,22,14,16,3.4,3282,0.66551
sonic-buildimage,https://github.com/Azure/sonic-buildimage,C,58,0,264,6,25.1,1,752,1114,2.4,265,0.66381
openenclave,https://github.com/openenclave/openenclave,C,40,0,112,5,19.7,17,207,305,4.3,326,0.66376
kernel,https://github.com/rockchip-linux/kernel,C,191,5,5000,10,3.8,0,4,19,1.7,1973,0.66335
slurm,https://github.com/SchedMD/slurm,C,233,0,349,5,70.4,20,1,1,1.0,1383,0.66308
firmware,https://github.com/raspberrypi/firmware,C,107,0,18,7,1.9,6,22,81,4.2,38641,0.66251
ctags,https://github.com/universal-ctags/ctags,C,233,0,175,5,13.9,1,114,139,5.5,445,0.66247
libreswan,https://github.com/libreswan/libreswan,C,185,0,182,5,50.9,17,8,23,2.7,285,0.66236
pcp,https://github.com/performancecopilot/pcp,C,165,0,190,3,41.4,7,124,145,0.7,2482,0.66213
i3,https://github.com/i3/i3,C,145,0,304,4,3.9,6,107,174,2.6,954,0.66182
core,https://github.com/cfengine/core,C,158,0,137,6,11.4,34,116,122,2.2,198,0.66132
tpm2-tools,https://github.com/tpm2-software/tpm2-tools,C,65,0,98,9,9.0,18,82,109,2.3,538,0.66087
librdkafka,https://github.com/edenhill/librdkafka,C,101,0,220,6,8.7,6,88,148,2.0,651,0.65984
flatpak,https://github.com/flatpak/flatpak,C,73,2,164,5,12.9,17,160,262,1.8,2215,0.65939
groonga,https://github.com/groonga/groonga,C,145,0,72,8,21.6,11,21,37,1.4,1751,0.65895
naev,https://github.com/naev/naev,C,168,0,135,5,66.1,6,332,372,1.4,170,0.65798
fluent-bit,https://github.com/fluent/fluent-bit,C,81,15,210,7,24.5,28,257,502,2.2,967,0.65787
libpcap,https://github.com/the-tcpdump-group/libpcap,C,258,0,151,5,5.6,2,10,28,4.1,4720,0.65672
freeradius-server,https://github.com/FreeRADIUS/freeradius-server,C,260,0,221,7,68.2,1,173,192,0.7,426,0.65654
mpich,https://github.com/pmodels/mpich,C,160,0,145,4,25.0,5,193,275,3.0,272,0.65635
cyrus-imapd,https://github.com/cyrusimap/cyrus-imapd,C,334,0,140,7,22.8,14,108,174,1.6,134,0.65526
source,https://github.com/lede-project/source,C,204,0,901,4,63.5,2,1,2,0.5,4342,0.65492
libxsmm,https://github.com/hfp/libxsmm,C,82,0,72,8,40.8,3,29,38,2.0,1990,0.65465
h2o,https://github.com/h2o/h2o,C,77,0,125,6,16.7,12,65,80,0.9,2058,0.65399
httpd,https://github.com/apache/httpd,C,298,0,124,4,12.9,10,15,25,0.7,14622,0.65374
opensips,https://github.com/OpenSIPS/opensips,C,189,0,145,5,21.6,6,99,150,2.9,232,0.653
contiki-ng,https://github.com/contiki-ng/contiki-ng,C,177,0,299,10,5.2,2,131,186,1.2,358,0.65234
lvgl,https://github.com/lvgl/lvgl,C,55,0,162,3,29.4,17,170,193,6.9,66,0.65219
memcached,https://github.com/memcached/memcached,C,214,1,218,5,2.6,6,30,56,3.1,3554,0.65208
libgphoto2,https://github.com/gphoto/libgphoto2,C,250,0,154,5,11.8,3,25,62,3.7,899,0.65179
defold,https://github.com/defold/defold,C,144,0,114,4,22.4,13,183,287,1.2,598,0.65173
wolfssl,https://github.com/wolfSSL/wolfssl,C,120,0,102,4,34.0,3,274,299,1.0,1775,0.65169
lightning,https://github.com/ElementsProject/lightning,C,68,0,157,3,36.2,11,209,266,2.8,292,0.65168
gnome-shell,https://github.com/GNOME/gnome-shell,C,148,0,725,4,26.3,20,0,0,0,8366,0.65119
coreboot,https://github.com/coreboot/coreboot,C,215,0,1124,3,127.9,1,0,0,0,17982,0.65053
nfs-ganesha,https://github.com/nfs-ganesha/nfs-ganesha,C,143,0,161,5,5.5,3,24,57,4.0,1340,0.65041
Espruino,https://github.com/espruino/Espruino,C,88,0,111,6,10.2,8,56,70,2.4,1028,0.64995
freeswitch,https://github.com/signalwire/freeswitch,C,87,0,421,7,7.2,4,84,196,1.7,222,0.64968
gimp,https://github.com/GNOME/gimp,C,292,0,985,5,28.5,11,1,1,2.0,203,0.64952
netcdf-c,https://github.com/Unidata/netcdf-c,C,129,0,69,10,9.9,1,79,99,2.6,1209,0.64941
rtems,https://github.com/RTEMS/rtems,C,312,0,231,4,13.7,2,14,14,1.0,13075,0.64923
panda,https://github.com/panda-re/panda,C,217,0,1417,5,12.3,1,74,89,1.2,172,0.64922
libusb,https://github.com/libusb/libusb,C,159,0,184,4,3.3,2,60,83,2.7,4122,0.64904
proxmark3,https://github.com/RfidResearchGroup/proxmark3,C,143,0,203,3,70.0,1,164,180,1.8,660,0.64883
strace,https://github.com/strace/strace,C,266,0,143,5,11.0,6,4,11,1.5,8250,0.64875
wireguard-linux,https://github.com/WireGuard/wireguard-linux,C,191,0,5000,10,1285.8,0,0,0,0,27,0.64798
amazon-freertos,https://github.com/aws/amazon-freertos,C,38,0,137,5,19.9,5,464,496,1.3,1384,0.64798
media-driver,https://github.com/intel/media-driver,C,38,0,260,2,23.9,20,56,137,1.7,2025,0.6472
collectd,https://github.com/collectd/collectd,C,109,3,619,9,3.3,2,23,69,1.3,3109,0.64718
gluon,https://github.com/freifunk-gluon/gluon,C,96,0,131,2,6.9,12,55,88,1.8,8446,0.6466
open62541,https://github.com/open62541/open62541,C,85,0,182,5,13.8,11,142,251,1.5,301,0.64506
gcc,https://github.com/gcc-mirror/gcc,C,391,0,3382,1,4.8,5,1,5,0.8,9838,0.64502
src,https://github.com/openbsd/src,C,307,0,384,5,146.6,0,2,2,0.5,6232,0.64412
citus,https://github.com/citusdata/citus,C,60,0,53,5,18.5,18,302,387,1.2,1221,0.64363
rusefi,https://github.com/rusefi/rusefi,C,81,0,34,5,81.5,19,305,386,1.3,341,0.64348
scrcpy,https://github.com/Genymobile/scrcpy,C,38,0,59,8,4.2,5,160,320,3.3,1921,0.64326
pure-data,https://github.com/pure-data/pure-data,C,163,0,68,7,4.7,7,105,161,4.0,317,0.64234
strongswan,https://github.com/strongswan/strongswan,C,184,0,107,5,6.0,15,4,11,3.0,2158,0.64228
upbge,https://github.com/UPBGE/upbge,C,222,0,582,3,192.2,1,83,95,2.7,29,0.64221
shadow,https://github.com/shadow/shadow,C,117,0,39,5,3.4,2,72,97,1.4,44867,0.64219
reactos,https://github.com/reactos/reactos,C,303,0,253,4,43.1,1,179,264,1.3,363,0.64191
paparazzi,https://github.com/paparazzi/paparazzi,C,194,0,144,6,4.0,1,48,60,1.5,6239,0.64122
tcl,https://github.com/tcltk/tcl,C,277,0,84,7,17.9,8,1,2,4.5,952,0.63937
dosbox-x,https://github.com/joncampbell123/dosbox-x,C,91,0,76,1,57.4,11,192,308,6.0,285,0.63847
dynamorio,https://github.com/DynamoRIO/dynamorio,C,144,0,88,4,6.1,55,152,263,2.5,251,0.63837
swipl-devel,https://github.com/SWI-Prolog/swipl-devel,C,348,0,124,5,24.1,23,70,84,2.6,58,0.63813
varnish-cache,https://github.com/varnishcache/varnish-cache,C,181,0,111,6,16.8,8,81,129,1.9,223,0.63798
inav,https://github.com/iNavFlight/inav,C,108,0,329,1,13.9,11,279,433,2.5,323,0.63731
fontforge,https://github.com/fontforge/fontforge,C,239,0,176,4,2.9,2,60,120,3.1,1665,0.63678
paho.mqtt.c,https://github.com/eclipse/paho.mqtt.c,C,107,1,78,9,5.2,6,101,161,2.2,937,0.63648
borg,https://github.com/borgbackup/borg,C,132,0,227,2,4.4,8,302,412,2.5,532,0.63626
asterisk,https://github.com/asterisk/asterisk,C,258,0,292,5,6.5,60,1,1,1.0,2667,0.63605
selinux,https://github.com/SELinuxProject/selinux,C,150,1,153,5,3.9,3,10,14,1.9,17962,0.6356
daos,https://github.com/daos-stack/daos,C,66,0,80,3,32.0,13,671,934,7.2,20,0.63528
igraph,https://github.com/igraph/igraph,C,194,0,51,7,7.4,6,105,144,3.7,279,0.63308
stlink,https://github.com/stlink-org/stlink,C,121,0,233,6,7.8,8,64,104,2.7,70,0.63299
mosquitto,https://github.com/eclipse/mosquitto,C,81,0,111,2,11.5,7,135,216,2.2,2442,0.63279
libunwind,https://github.com/libunwind/libunwind,C,230,0,152,6,1.2,3,15,23,1.2,11706,0.63278
gmt,https://github.com/GenericMappingTools/gmt,C,243,0,42,7,32.2,2,340,429,2.9,138,0.63121
goaccess,https://github.com/allinurl/goaccess,C,127,0,124,6,7.5,3,99,139,3.3,206,0.63113
weechat,https://github.com/weechat/weechat,C,210,0,137,5,8.8,7,32,57,2.2,504,0.63081
sway,https://github.com/swaywm/sway,C,66,1,378,2,7.5,8,229,353,2.3,896,0.63039
xxHash,https://github.com/Cyan4973/xxHash,C,106,0,52,5,6.4,3,21,37,3.1,4577,0.62852
zsh,https://github.com/zsh-users/zsh,C,264,0,261,3,6.4,10,1,4,2.5,2845,0.62804
libbpf,https://github.com/libbpf/libbpf,C,27,0,103,7,9.3,6,23,23,0.8,15173,0.62798
ponyc,https://github.com/ponylang/ponyc,C,99,0,198,4,5.6,9,27,52,2.5,539,0.6278
openwrt,https://github.com/Lienol/openwrt,C,204,0,730,5,9.4,0,55,67,1.4,360,0.62729
seL4,https://github.com/seL4/seL4,C,78,0,105,6,4.9,1,21,51,5.1,1210,0.62674
azure-iot-sdk-c,https://github.com/Azure/azure-iot-sdk-c,C,64,0,155,4,3.7,7,180,218,2.4,691,0.62664
libarchive,https://github.com/libarchive/libarchive,C,154,0,209,3,3.2,4,24,49,1.5,4743,0.62645
libsodium,https://github.com/jedisct1/libsodium,C,96,0,109,7,3.7,4,40,41,1.4,2260,0.62627
glfw,https://github.com/glfw/glfw,C,137,0,164,5,3.0,2,28,92,2.2,1563,0.62562
nvme-cli,https://github.com/linux-nvme/nvme-cli,C,74,1,191,6,4.6,4,39,63,1.6,2804,0.62478
wlroots,https://github.com/swaywm/wlroots,C,45,0,149,3,9.5,6,148,223,2.3,1194,0.62478
