index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
647,uno,https://github.com/unoplatform/uno,C#,4301,33,0,181,5,66.3,9,838,483,3.0,136,0.66718
811,PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,C++,4105,110,0,538,5,51.5,7,970,571,1.9,14,0.66684
1141,mongoid,https://github.com/mongodb/mongoid,Ruby,3818,138,0,521,9,3.9,16,58,52,1.1,242,0.66667
799,openscad,https://github.com/openscad/openscad,C++,3788,141,0,181,4,8.9,2,216,145,3.0,1982,0.66555
1447,flow-typed,https://github.com/flow-typed/flow-typed,JavaScript,3530,65,0,930,8,4.2,4,92,71,1.3,484,0.6633
728,cats,https://github.com/typelevel/cats,Scala,4176,72,0,429,8,9.2,13,142,114,1.0,252,0.66289
954,moq4,https://github.com/moq/moq4,C#,3826,159,0,109,8,4.4,7,86,78,1.9,1915,0.66285
220,laravel-medialibrary,https://github.com/spatie/laravel-medialibrary,PHP,4200,70,0,210,7,5.6,65,121,116,1.8,399,0.66258
895,external-dns,https://github.com/kubernetes-sigs/external-dns,Go,3665,48,0,302,8,6.7,8,299,85,2.7,287,0.6623
735,lutris,https://github.com/lutris/lutris,Python,4132,134,0,222,4,16.4,9,241,201,1.7,415,0.66057
1418,rundeck,https://github.com/rundeck/rundeck,Groovy,4082,126,0,192,5,28.7,14,344,199,0.9,246,0.65999
1450,simplecov,https://github.com/simplecov-ruby/simplecov,Ruby,4159,127,0,192,9,3.3,14,45,36,1.3,989,0.65957
209,serde,https://github.com/serde-rs/serde,Rust,3771,87,0,144,7,2.3,14,83,22,1.0,7287,0.65915
88,ctags,https://github.com/universal-ctags/ctags,C,4138,234,0,176,5,14.5,1,153,122,4.6,464,0.65884
318,akka.net,https://github.com/akkadotnet/akka.net,C#,3745,86,0,238,5,6.2,19,234,149,2.1,276,0.657
807,st2,https://github.com/StackStorm/st2,Python,4133,82,0,156,7,10.0,2,89,47,2.3,2128,0.65643
127,drupal,https://github.com/drupal/drupal,PHP,3531,251,0,129,6,28.6,22,2,2,0.5,8558,0.65597
555,rustup,https://github.com/rust-lang/rustup,Rust,3841,64,0,311,4,6.9,10,231,169,3.2,324,0.6557
1329,sass-loader,https://github.com/webpack-contrib/sass-loader,JavaScript,3537,84,2,85,8,1.3,14,29,24,2.9,18891,0.65543
314,sitespeed.io,https://github.com/sitespeedio/sitespeed.io,JavaScript,4036,104,0,105,8,14.8,66,104,77,1.2,313,0.6554
1120,redis-rb,https://github.com/redis/redis-rb,Ruby,3629,145,0,191,10,1.4,5,39,22,1.8,2093,0.65535
607,GRDB.swift,https://github.com/groue/GRDB.swift,Swift,3542,67,0,54,7,20.0,42,65,65,3.7,294,0.65241
91,dplyr,https://github.com/tidyverse/dplyr,R,3614,100,0,247,7,9.9,5,184,141,1.8,237,0.65229
493,nuclio,https://github.com/nuclio/nuclio,Go,3698,44,0,60,5,9.2,73,204,180,0.7,8804,0.65127
1384,closure-library,https://github.com/google/closure-library,JavaScript,3858,136,0,658,1,12.7,14,19,15,1.1,5896,0.65086
1483,progit2,https://github.com/progit/progit2,CSS,4041,86,0,276,8,3.8,89,62,40,1.1,357,0.64944
1058,EventStore,https://github.com/EventStore/EventStore,C#,4009,101,0,121,4,11.9,272,88,53,1.3,1225,0.64891
350,maltrail,https://github.com/stamparm/maltrail,Python,3855,74,0,28,4,400.7,10,2197,2174,0.1,630,0.64866
1022,dash.js,https://github.com/Dash-Industry-Forum/dash.js,JavaScript,3736,99,0,182,11,4.4,7,121,84,1.2,478,0.64834
606,VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,Go,3583,28,0,51,5,27.2,58,257,170,2.7,942,0.64754
218,metro,https://github.com/facebook/metro,JavaScript,3894,72,0,339,7,5.5,7,70,20,1.1,1264,0.64731
645,alertmanager,https://github.com/prometheus/alertmanager,Go,3698,91,1,220,10,1.4,2,107,47,2.2,3015,0.64729
456,spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,Java,4225,79,0,232,6,3.0,16,84,67,1.9,577,0.64676
418,fog,https://github.com/fog/fog,Ruby,4269,142,10,936,12,0.0,15,3,1,2.0,13384,0.64634
1233,scala-js,https://github.com/scala-js/scala-js,Scala,4070,96,0,91,7,7.8,8,162,124,2.3,410,0.64251
702,mailcow-dockerized,https://github.com/mailcow/mailcow-dockerized,PHP,3574,50,0,188,5,13.9,0,197,142,3.3,1680,0.64103
502,ntopng,https://github.com/ntop/ntopng,Lua,3717,69,0,100,4,73.0,2,542,482,1.5,524,0.64094
462,cortex,https://github.com/cortexproject/cortex,Go,3626,55,0,169,5,21.7,25,492,358,1.8,60,0.64071
1111,akaunting,https://github.com/akaunting/akaunting,PHP,3642,43,0,71,6,23.3,26,113,103,0.8,1459,0.63997
1324,swig,https://github.com/swig/swig,C++,3767,261,3,275,5,3.2,5,51,10,1.4,17963,0.63988
1287,PyGithub,https://github.com/PyGithub/PyGithub,Python,4004,108,1,255,7,3.2,8,167,102,1.8,497,0.63939
361,byte-buddy,https://github.com/raphw/byte-buddy,Java,3987,87,0,65,8,5.2,13,65,31,2.9,685,0.63927
16,fontforge,https://github.com/fontforge/fontforge,C,3533,240,0,177,4,3.0,2,133,68,3.1,1690,0.63919
1259,realm-js,https://github.com/realm/realm-js,JavaScript,4214,68,0,103,6,12.5,49,330,220,1.5,165,0.63868
286,react-native-reanimated,https://github.com/software-mansion/react-native-reanimated,JavaScript,4138,33,0,139,5,7.8,22,361,306,3.0,206,0.63861
1106,material-components-ios,https://github.com/material-components/material-components-ios,Objective-C,4231,64,0,163,2,22.3,59,138,99,1.3,1196,0.63794
749,polaris-react,https://github.com/Shopify/polaris-react,TypeScript,3767,56,0,230,3,14.4,43,473,338,1.5,175,0.63731
590,apisix,https://github.com/apache/apisix,Lua,4122,21,0,142,9,16.6,9,1018,858,2.7,52,0.63703
784,virtualenv,https://github.com/pypa/virtualenv,Python,3788,120,0,44,9,5.1,2,83,66,2.3,2533,0.63701
105,react-spectrum,https://github.com/adobe/react-spectrum,TypeScript,4133,57,0,162,5,15.6,264,370,235,2.5,48,0.63643
1285,operator-sdk,https://github.com/operator-framework/operator-sdk,Go,4280,36,0,212,2,16.6,24,556,393,2.2,347,0.6361
797,wasm-bindgen,https://github.com/rustwasm/wasm-bindgen,Rust,3820,37,0,245,4,3.3,11,138,92,2.8,1016,0.63567
