name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
OAP,https://github.com/Intel-bigdata/OAP,Scala,"License(name=""Apache License 2.0"")",328,59,1,53,7,5.3,9,369,300,1.2,47,0.55122
venom-xbmc-addons,https://github.com/Kodi-vStream/venom-xbmc-addons,Python,,331,79,0,50,0,48.7,8,137,115,7.1,58,0.55058
stream,https://github.com/xwp/stream,PHP,"License(name=""GNU General Public License v2.0"")",329,87,0,87,11,3.4,9,51,36,0.5,31,0.54907
sourcecred,https://github.com/sourcecred/sourcecred,JavaScript,"License(name=""Other"")",331,36,0,29,3,14.3,15,312,248,0.8,260,0.549
yargs-parser,https://github.com/yargs/yargs-parser,JavaScript,"License(name=""ISC License"")",331,61,3,45,5,1.6,22,12,7,0.9,6133,0.54884
micmac,https://github.com/micmacIGN/micmac,C++,"License(name=""Other"")",324,102,0,70,6,3.2,2,16,13,0.6,793,0.54843
MatterControl,https://github.com/MatterHackers/MatterControl,C#,"License(name=""BSD 2-Clause ""Simplified"" License"")",327,85,0,21,4,11.7,5,91,69,0.5,883,0.54831
cutadapt,https://github.com/marcelm/cutadapt,Python,"License(name=""MIT License"")",335,126,0,26,10,3.4,6,30,23,2.8,26,0.54771
citrus,https://github.com/citrusframework/citrus,Java,"License(name=""Apache License 2.0"")",328,140,0,51,8,4.8,3,26,16,1.1,105,0.54671
image_pipeline,https://github.com/ros-perception/image_pipeline,C++,,329,139,1,113,10,0.6,3,22,12,2.0,78,0.54621
math-comp,https://github.com/math-comp/math-comp,Coq,,333,72,0,36,5,4.9,3,130,85,2.1,113,0.54524
pcgen,https://github.com/PCGen/pcgen,Java,"License(name=""GNU Lesser General Public License v2.1"")",329,182,0,207,2,6.1,2,42,37,0.2,563,0.54441
evobot,https://github.com/eritislami/evobot,JavaScript,"License(name=""MIT License"")",330,21,0,22,5,3.0,9,213,191,2.0,434,0.54398
EmptyEpsilon,https://github.com/daid/EmptyEpsilon,Lua,"License(name=""GNU General Public License v2.0"")",330,80,0,71,1,12.2,6,254,191,0.7,408,0.54355
OpenSlides,https://github.com/OpenSlides/OpenSlides,TypeScript,"License(name=""MIT License"")",334,116,0,52,3,7.2,2,289,248,0.9,131,0.54201
iTop,https://github.com/Combodo/iTop,PHP,"License(name=""GNU Affero General Public License v3.0"")",329,143,0,33,4,26.9,5,40,32,1.8,38,0.54186
PlatON-Go,https://github.com/PlatONnetwork/PlatON-Go,Go,"License(name=""GNU Lesser General Public License v3.0"")",325,86,2,418,5,0.2,4,127,104,0.6,127,0.54173
core,https://github.com/wicketstuff/core,Java,,330,168,1,218,6,0.7,10,9,8,0.3,270,0.53948
weston,https://github.com/wayland-project/weston,C,"License(name=""Other"")",332,150,1,331,8,3.3,5,0,0,0,541,0.53851
xero-php,https://github.com/calcinai/xero-php,PHP,"License(name=""MIT License"")",328,75,0,86,7,1.3,12,20,12,1.6,41,0.5379
fabric-ca,https://github.com/hyperledger/fabric-ca,Go,"License(name=""Apache License 2.0"")",328,52,1,79,6,2.1,5,18,15,1.6,397,0.53553
usaco-guide,https://github.com/cpinitiative/usaco-guide,TypeScript,"License(name=""Other"")",334,8,0,59,4,57.3,0,347,309,2.9,87,0.53327
python-docs-fr,https://github.com/python/python-docs-fr,Makefile,"License(name=""Other"")",325,52,1,149,7,4.6,0,90,71,3.1,31,0.53288
volttron,https://github.com/VOLTTRON/volttron,Python,"License(name=""Other"")",326,88,4,112,3,6.3,2,121,98,0.4,1371,0.53142
pino-pretty,https://github.com/pinojs/pino-pretty,JavaScript,"License(name=""Other"")",329,34,0,36,7,0.6,10,10,3,3.8,210,0.52845
postgresql,https://github.com/sous-chefs/postgresql,Ruby,"License(name=""Apache License 2.0"")",323,144,0,147,10,1.4,3,9,7,1.7,10,0.5284
asdf-plugins,https://github.com/asdf-vm/asdf-plugins,Shell,"License(name=""MIT License"")",329,47,0,160,9,4.8,0,58,52,1.7,17,0.5278
logagent-js,https://github.com/sematext/logagent-js,JavaScript,"License(name=""Apache License 2.0"")",328,67,0,30,11,6.3,47,11,10,0.6,36,0.52711
pupilfirst,https://github.com/pupilfirst/pupilfirst,Ruby,"License(name=""Other"")",330,87,0,26,5,16.6,5,123,69,0.6,64,0.52703
flopflip,https://github.com/tdeekens/flopflip,JavaScript,"License(name=""MIT License"")",328,43,0,22,7,8.7,405,119,119,1.6,8,0.52506
kitchen-vagrant,https://github.com/test-kitchen/kitchen-vagrant,Ruby,"License(name=""Other"")",335,98,0,109,9,0.7,8,23,21,0.2,45,0.52348
electron-mocha,https://github.com/jprichardson/electron-mocha,JavaScript,"License(name=""MIT License"")",326,68,1,34,9,1.4,13,11,9,1.7,134,0.52323
recipes,https://github.com/tidymodels/recipes,HTML,,334,50,0,55,8,3.8,3,71,56,2.2,14,0.52228
bleak,https://github.com/hbldh/bleak,Python,"License(name=""MIT License"")",329,34,0,31,8,4.7,8,93,58,3.6,7,0.52119
croniter,https://github.com/taichino/croniter,Python,,332,134,0,49,13,1.3,3,5,5,2.8,23,0.52067
dash-docs,https://github.com/plotly/dash-docs,Python,"License(name=""MIT License"")",332,48,0,98,2,16.0,2,103,81,1.0,107,0.52004
AppleWin,https://github.com/AppleWin/AppleWin,C++,"License(name=""GNU General Public License v2.0"")",327,182,0,25,3,3.6,8,94,66,3.0,27,0.51993
kube-ingress-aws-controller,https://github.com/zalando-incubator/kube-ingress-aws-controller,Go,"License(name=""MIT License"")",323,51,0,43,5,1.2,31,25,19,1.6,60,0.51907
android-app,https://github.com/wallabag/android-app,Java,"License(name=""GNU General Public License v3.0"")",327,91,1,105,3,6.5,9,51,34,0.8,64,0.51781
over_react,https://github.com/Workiva/over_react,Dart,"License(name=""Other"")",334,78,0,55,1,10.2,21,40,35,1.3,103,0.51772
psi,https://github.com/psi-im/psi,C++,"License(name=""Other"")",334,168,1,59,4,10.7,1,12,4,2.2,173,0.51766
PlasmaPy,https://github.com/PlasmaPy/PlasmaPy,Python,"License(name=""Other"")",327,63,0,73,4,2.8,1,80,32,2.0,91,0.51718
datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,Python,"License(name=""MIT License"")",330,20,0,16,10,3.0,81,81,71,2.2,18,0.51515
digibyte,https://github.com/digibyte/digibyte,C++,"License(name=""MIT License"")",326,139,9,733,4,0.0,24,5,5,1.2,67,0.51372
