name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
react-tooltip,https://github.com/wwayne/react-tooltip,JavaScript,2186,70,2,102,5,1.6,22,46,11,0.8,240,0.53283
Telegram-iOS,https://github.com/TelegramMessenger/Telegram-iOS,Swift,2136,112,1,451,7,13.5,4,90,23,1.3,0,0.53259
oauthlib,https://github.com/oauthlib/oauthlib,Python,2141,111,6,170,7,0.4,5,11,4,2.5,282,0.53245
next-seo,https://github.com/garmeeh/next-seo,JavaScript,2198,31,1,42,3,7.1,27,125,90,1.1,293,0.53233
netmq,https://github.com/zeromq/netmq,C#,2123,100,3,120,10,1.9,7,40,14,0.8,78,0.53222
wire-server,https://github.com/wireapp/wire-server,Haskell,2249,48,0,39,3,7.3,21,122,86,1.0,94,0.53174
bond,https://github.com/microsoft/bond,C++,2260,74,1,54,6,0.8,5,24,9,1.8,532,0.53147
vscode-react-native,https://github.com/microsoft/vscode-react-native,TypeScript,2202,61,0,70,5,1.9,12,62,54,2.1,21,0.53054
json2csv,https://github.com/zemirco/json2csv,JavaScript,2247,106,1,69,6,0.7,9,40,36,1.4,96,0.53036
net,https://github.com/golang/net,Go,2264,109,1,182,3,1.1,0,18,3,1.8,1732,0.53019
ServiceStack.Redis,https://github.com/ServiceStack/ServiceStack.Redis,C#,2110,123,0,77,8,1.0,6,1,1,2.0,91,0.52961
msgpack-c,https://github.com/msgpack/msgpack-c,,2111,145,7,158,9,0.2,1,8,4,2.4,641,0.52924
python-language-server,https://github.com/palantir/python-language-server,Python,2164,49,0,77,4,1.2,18,40,21,1.2,120,0.52771
spec,https://github.com/cloudevents/spec,Shell,2264,38,1,91,11,1.7,1,53,38,2.3,82,0.52746
issrc,https://github.com/jrsoftware/issrc,Pascal,2146,113,0,50,3,9.7,3,14,14,2.3,93,0.52745
tectonic,https://github.com/tectonic-typesetting/tectonic,C,2123,50,0,33,4,7.1,19,98,77,2.3,18,0.5272
angular-calendar,https://github.com/mattlewis92/angular-calendar,TypeScript,2131,57,3,25,8,2.8,30,64,50,1.4,140,0.52683
ChaiScript,https://github.com/ChaiScript/ChaiScript,C++,2192,142,0,65,6,0.2,5,12,7,1.1,241,0.52592
rudder-server,https://github.com/rudderlabs/rudder-server,Go,2191,18,0,52,4,21.0,8,204,173,0.8,66,0.52545
rustls,https://github.com/ctz/rustls,Rust,2260,57,0,54,6,2.5,6,52,32,1.8,44,0.52536
sequelize-auto,https://github.com/sequelize/sequelize-auto,TypeScript,2177,92,1,62,8,2.1,3,77,67,1.9,27,0.52461
phantomas,https://github.com/macbre/phantomas,JavaScript,2168,111,0,40,9,4.9,6,72,63,0.4,21,0.52432
ccls,https://github.com/MaskRay/ccls,C++,2199,48,0,59,5,0.5,2,81,50,1.9,232,0.52351
plumbum,https://github.com/tomerfiliba/plumbum,Python,2118,106,0,91,7,0.7,1,17,8,2.9,42,0.5233
instagram-php-scraper,https://github.com/postaddictme/instagram-php-scraper,PHP,2131,58,0,106,5,1.1,15,107,69,1.6,9,0.52265
pycparser,https://github.com/eliben/pycparser,Python,2129,130,1,70,7,0.6,2,8,7,1.5,371,0.52258
escodegen,https://github.com/estools/escodegen,JavaScript,2161,108,1,55,9,0.3,5,17,3,1.9,132,0.5211
dcat-admin,https://github.com/jqhph/dcat-admin,PHP,2132,21,0,42,1,32.3,49,521,369,1.5,38,0.52089
IHaskell,https://github.com/gibiansky/IHaskell,Haskell,2213,90,2,99,11,1.4,3,17,13,1.4,66,0.51895
babel-plugin-macros,https://github.com/kentcdodds/babel-plugin-macros,JavaScript,2139,43,1,46,10,0.3,2,19,17,2.6,257,0.51848
reveal-md,https://github.com/webpro/reveal-md,JavaScript,2237,92,1,59,8,1.3,19,21,12,1.4,24,0.51667
