name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
actor-framework,https://github.com/actor-framework/actor-framework,C++,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",2441,120,0,93,9,9.4,4,61,55,1.1,35,0.57677
hibernate-types,https://github.com/vladmihalcea/hibernate-types,Java,"License(name=""Apache License 2.0"")",1071,40,0,49,9,2.7,14,26,18,2.2,255,0.57463
sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,Sass,"License(name=""Other"")",3577,88,0,103,8,1.4,3,73,43,1.0,317,0.57446
ng-select,https://github.com/ng-select/ng-select,TypeScript,"License(name=""MIT License"")",2508,43,0,89,4,1.0,23,143,109,1.5,310,0.57321
course-v3,https://github.com/fastai/course-v3,Jupyter Notebook,"License(name=""Apache License 2.0"")",4686,28,0,200,9,1.5,0,8,5,1.1,5369,0.57071
baritone,https://github.com/cabaletta/baritone,Java,"License(name=""Other"")",2509,30,1,42,4,2.7,13,354,257,3.5,317,0.56553
koka,https://github.com/koka-lang/koka,Haskell,"License(name=""Other"")",1046,102,0,13,7,22.3,6,37,15,3.4,71,0.56079
android-upload-service,https://github.com/gotev/android-upload-service,Kotlin,"License(name=""Apache License 2.0"")",2445,89,0,28,9,1.8,12,33,30,4.1,33,0.56012
motion,https://github.com/Motion-Project/motion,C,404-NotFound,2497,183,1,80,5,1.1,2,93,82,1.8,513,0.5597
python-driver,https://github.com/datastax/python-driver,Python,"License(name=""Apache License 2.0"")",1210,100,2,174,9,1.9,10,4,3,1.5,225,0.55961
just-the-docs,https://github.com/pmarsceill/just-the-docs,SCSS,"License(name=""MIT License"")",2474,47,3,48,10,4.8,6,73,22,1.5,721,0.55906
trillian,https://github.com/google/trillian,Go,"License(name=""Apache License 2.0"")",2448,57,0,60,8,3.1,5,56,48,2.2,76,0.55902
Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,HTML,"License(name=""MIT License"")",47520,109,0,252,9,0.6,0,25,18,1.7,105,0.55775
options-resolver,https://github.com/symfony/options-resolver,PHP,"License(name=""MIT License"")",2491,106,0,73,10,0.5,52,0,0,0,2490,0.55713
XlsxWriter,https://github.com/jmcnamara/XlsxWriter,Python,"License(name=""Other"")",2437,98,0,43,4,1.4,17,25,20,2.4,188,0.55217
pomegranate,https://github.com/jmschrei/pomegranate,Jupyter Notebook,"License(name=""MIT License"")",2567,75,0,61,5,2.6,4,43,30,2.2,184,0.55151
asuswrt-merlin.ng,https://github.com/RMerl/asuswrt-merlin.ng,,"License(name=""Other"")",2530,41,0,42,1,12.4,44,116,101,1.8,376,0.54751
a32nx,https://github.com/flybywiresim/a32nx,JavaScript,"License(name=""GNU General Public License v3.0"")",2472,6,0,128,1,32.9,11,1777,1440,3.9,21,0.54512
reason,https://github.com/reasonml/reason,OCaml,"License(name=""MIT License"")",9224,63,0,136,9,1.4,1,19,9,2.0,105,0.54502
ru.javascript.info,https://github.com/javascript-tutorial/ru.javascript.info,HTML,"License(name=""Other"")",2103,76,0,733,4,4.2,0,71,36,0.8,46,0.54433
slate,https://github.com/slatedocs/slate,SCSS,"License(name=""Apache License 2.0"")",31906,89,1,134,9,1.2,5,29,27,0.9,90,0.54189
legado,https://github.com/gedoor/legado,Kotlin,"License(name=""GNU General Public License v3.0"")",2138,20,0,33,1,71.1,94,324,242,1.1,195,0.54179
rainbond,https://github.com/goodrain/rainbond,Go,"License(name=""GNU Lesser General Public License v3.0"")",2551,39,0,31,4,10.4,6,62,53,0.4,1390,0.54159
MenuMeters,https://github.com/yujitach/MenuMeters,Objective-C,"License(name=""GNU General Public License v2.0"")",2537,67,1,22,5,1.9,14,81,52,3.6,155,0.54065
coding-interview-university,https://github.com/jwasham/coding-interview-university,,"License(name=""Creative Commons Attribution Share Alike 4.0 International"")",153513,56,0,213,4,2.7,0,87,74,1.0,258,0.53845
